Word 1	Word 2	Count	perMillion
Association	of 	13072	60.701616795829
serve	as 	13066	60.673754976614
any	of 	13064	60.664467703543
invasion	of 	13053	60.613387701649
created	in 	13050	60.599456792042
worked	as 	13033	60.520514970933
change	in 	12992	60.330125872966
arrived	in 	12978	60.265114961465
interested	in 	12961	60.186173140357
School	District 	12957	60.167598594213
railway	station 	12956	60.162954957678
success	of 	12950	60.135093138463
nominated	for 	12905	59.926129494352
join	the 	12899	59.898267675138
changes	in 	12875	59.786820398279
human	rights 	12868	59.754314942528
appears	in 	12833	59.591787663776
evidence	of 	12830	59.577856754168
focus	on 	12829	59.573213117632
included	a 	12814	59.503558569596
contributed	to 	12807	59.471053113845
held	by 	12794	59.410685838880
edge	of 	12781	59.350318563915
considered	the 	12761	59.257445833199
professor	of 	12758	59.243514923591
changed	to 	12749	59.201722194769
wrote	a 	12714	59.039194916017
large	number 	12687	58.913816729550
life	and 	12666	58.816300362299
founded	the 	12656	58.769863996941
after	he 	12646	58.723427631583
need	for 	12626	58.630554900867
Ministry	of 	12611	58.560900352831
few	years 	12535	58.207983976111
Church	in 	12533	58.198696703039
connected	to 	12532	58.194053066503
early	in 	12522	58.147616701145
placed	in 	12490	57.999020332000
believe	that 	12484	57.971158512785
having	a 	12424	57.692540320638
first	two 	12420	57.673965774495
State	University 	12419	57.669322137959
year	in 	12388	57.525369405350
started	to 	12384	57.506794859207
what	he 	12375	57.465002130384
music	and 	12353	57.362842126597
